Date,Open,High,Low,Close,Adj Close,Volume
2009-01-22,2.455000,2.476300,2.439200,2.464100,2.464100,0
2009-01-23,2.466000,2.473600,2.419000,2.449400,2.449400,0
2009-01-26,2.445400,2.508400,2.431900,2.491300,2.491300,0
2009-01-27,2.490400,2.506500,2.480500,2.500600,2.500600,0
2009-01-28,2.501400,2.522500,2.458900,2.516100,2.516100,0
2009-01-29,2.515900,2.544700,2.506700,2.520100,2.520100,0
2009-01-30,2.520300,2.536600,2.507600,2.514700,2.514700,0
2009-02-02,2.508600,2.567000,2.506100,2.547800,2.547800,0
2009-02-03,2.547700,2.559800,2.519200,2.549200,2.549200,0
2009-02-04,2.547800,2.572600,2.505000,2.527300,2.527300,0
2009-02-05,2.522300,2.535500,2.468400,2.476600,2.476600,0
2009-02-06,2.476000,2.495800,2.414800,2.429400,2.429400,0
2009-02-09,2.438600,2.462300,2.397600,2.424900,2.424900,0
2009-02-10,2.423700,2.481600,2.399400,2.457700,2.457700,0
2009-02-11,2.457400,2.480800,2.443900,2.451100,2.451100,0
2009-02-12,2.450400,2.482800,2.436600,2.464900,2.464900,0
2009-02-13,2.464200,2.471200,2.431600,2.458700,2.458700,0
2009-02-16,2.454800,2.476700,2.447900,2.458300,2.458300,0
2009-02-17,2.457600,2.493100,2.455400,2.476600,2.476600,0
2009-02-18,2.477900,2.479100,2.451600,2.457700,2.457700,0
2009-02-19,2.458100,2.493000,2.451500,2.485700,2.485700,0
2009-02-20,2.485400,2.511200,2.482200,2.494900,2.494900,0
2009-02-23,2.511000,2.524300,2.486700,2.500400,2.500400,0
2009-02-24,2.500900,2.507800,2.479000,2.503200,2.503200,0
2009-02-25,2.503700,2.506800,2.475900,2.498600,2.498600,0
2009-02-26,2.499000,2.509700,2.487900,2.504500,2.504500,0
2009-02-27,2.504900,2.535000,2.503900,2.525800,2.525800,0
2009-03-02,2.540900,2.557700,2.538100,2.548700,2.548700,0
2009-03-03,2.548700,2.551500,2.524000,2.535100,2.535100,0
2009-03-04,2.534400,2.545200,2.487900,2.505500,2.505500,0
2009-03-05,2.505200,2.524900,2.483900,2.514400,2.514400,0
2009-03-06,2.513900,2.533900,2.500800,2.542000,2.542000,0
2009-03-09,2.515800,2.563900,2.509800,2.549800,2.549800,0
2009-03-10,2.548100,2.557700,2.509900,2.515700,2.515700,0
2009-03-11,2.514300,2.536100,2.496500,2.505000,2.505000,0
2009-03-12,2.505100,2.511100,2.467000,2.478500,2.478500,0
2009-03-13,2.478100,2.485800,2.452700,2.461500,2.461500,0
2009-03-16,2.462700,2.466400,2.435200,2.449100,2.449100,0
2009-03-17,2.448900,2.460300,2.437100,2.456900,2.456900,0
2009-03-18,2.457400,2.487000,2.454400,2.475400,2.475400,0
2009-03-19,2.476200,2.487100,2.444700,2.452300,2.452300,0
2009-03-20,2.452000,2.456600,2.410100,2.410100,2.410100,0
2009-03-23,2.430400,2.430400,2.376700,2.384100,2.384100,0
2009-03-24,2.384200,2.398000,2.377700,2.391900,2.391900,0
2009-03-25,2.392400,2.415600,2.372800,2.386100,2.386100,0
2009-03-26,2.386800,2.391400,2.338000,2.340200,2.340200,0
2009-03-27,2.340600,2.366200,2.322000,2.322200,2.322200,0
2009-03-30,2.333100,2.357300,2.333000,2.344300,2.344300,0
2009-03-31,2.344900,2.370700,2.320500,2.364300,2.364300,0
2009-04-01,2.365100,2.380900,2.325100,2.334600,2.334600,0
2009-04-02,2.336200,2.347600,2.305600,2.305900,2.305900,0
2009-04-03,2.306400,2.319900,2.283100,2.295900,2.295900,0
2009-04-06,2.282900,2.297200,2.267800,2.291400,2.291400,0
2009-04-07,2.291100,2.310900,2.287200,2.301700,2.301700,0
2009-04-08,2.301400,2.312000,2.287500,2.292400,2.292400,0
2009-04-09,2.292600,2.297400,2.253200,2.255100,2.255100,0
2009-04-10,2.256100,2.261100,2.248300,2.265800,2.265800,0
2009-04-13,2.251100,2.273100,2.244300,2.258100,2.258100,0
2009-04-14,2.258200,2.279700,2.247900,2.275400,2.275400,0
2009-04-15,2.274900,2.298100,2.269800,2.278100,2.278100,0
2009-04-16,2.277900,2.316600,2.277900,2.296100,2.296100,0
2009-04-17,2.296300,2.304500,2.281800,2.297400,2.297400,0
2009-04-20,2.286200,2.349400,2.284300,2.332800,2.332800,0
2009-04-21,2.332300,2.339700,2.290500,2.305400,2.305400,0
2009-04-22,2.304500,2.343500,2.302700,2.336200,2.336200,0
2009-04-23,2.336700,2.346700,2.323700,2.340100,2.340100,0
2009-04-24,2.340800,2.344100,2.308800,2.313900,2.313900,0
2009-04-27,2.339200,2.339200,2.290300,2.308800,2.308800,0
2009-04-28,2.307100,2.358100,2.306800,2.348900,2.348900,0
2009-04-29,2.348200,2.350300,2.305400,2.349800,2.349800,0
2009-04-30,2.349300,2.353700,2.323600,2.340600,2.340600,0
2009-05-01,2.340500,2.351100,2.313300,2.322800,2.322800,0
2009-05-04,2.315700,2.335300,2.304200,2.322500,2.322500,0
2009-05-05,2.322700,2.327200,2.286800,2.296300,2.296300,0
2009-05-06,2.295600,2.302100,2.263500,2.266100,2.266100,0
2009-05-07,2.266500,2.268100,2.225300,2.254900,2.254900,0
2009-05-08,2.254300,2.273600,2.247500,2.257700,2.257700,0
2009-05-11,2.250900,2.271500,2.227100,2.260700,2.260700,0
2009-05-12,2.260700,2.272900,2.242300,2.253500,2.253500,0
2009-05-13,2.254200,2.304700,2.246500,2.294400,2.294400,0
2009-05-14,2.294100,2.310800,2.279800,2.294900,2.294900,0
2009-05-15,2.295000,2.311100,2.290700,2.306800,2.306800,0
2009-05-18,2.304500,2.304500,2.270600,2.272300,2.272300,0
2009-05-19,2.272300,2.278000,2.247000,2.266900,2.266900,0
2009-05-20,2.266400,2.279100,2.248700,2.272700,2.272700,0
2009-05-21,2.272700,2.288700,2.259700,2.268400,2.268400,0
2009-05-22,2.268200,2.272900,2.244500,2.256200,2.256200,0
2009-05-25,2.272300,2.274600,2.253900,2.259600,2.259600,0
